dataset,date,train,epoch,batch,rate,layers,structure,nonlinearity,dropout,accuracy,error,index,model
R8,160122-201204,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","B(0.5), B(0.5), B(0.5)",96.62%,3.38%,-1,
R8,160122-201017,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","B(0.8), B(0.5), B(0.5)",96.53%,3.47%,-1,"B(0.8), B(0.5), B(0.5)"
R52,160130-095024,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","B(0.8), B(0.5), B(0.5)",93.26%,6.74%,-1,"B(0.8), B(0.5), B(0.5)"
WebKB,160130-022801,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","B(0.8), B(0.5), B(0.5)",89.66%,10.34%,-1,"B(0.8), B(0.5), B(0.5)"
SentPolarity,160205-234044,6823,1000,1,0.001,"dense, dense, dense","1024, 1024, 2","rectify, rectify, softmax","B(0.8), B(0.5), B(0.5)",74.85%,25.15%,-1,"B(0.8), B(0.5), B(0.5)"
R8,160218-233259,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","B(0.8), BB(1.0, 1.0), BB(1.0, 1.0)",87.07%,12.93%,-1,
R52,160218-234428,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","B(0.8), BB(1.0, 1.0), BB(1.0, 1.0)",93.26%,6.74%,-1,
WebKB,160218-233957,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","B(0.8), BB(1.0, 1.0), BB(1.0, 1.0)",90.09%,9.91%,-1,
R8,160122-215753,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)",96.44%,3.56%,-1,"B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)"
R52,160201-224314,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)",93.22%,6.78%,-1,"B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)"
WebKB,160129-070631,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)",89.52%,10.48%,-1,"B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)"
SentPolarity,160208-064318,6823,1000,1,0.001,"dense, dense, dense","1024, 1024, 2","rectify, rectify, softmax","B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)",75.69%,24.31%,-1,"B(0.8), BB(100.0, 100.0), BB(100.0, 100.0)"
R8,160122-223337,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)",95.93%,4.07%,-1,"B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)"
R52,160201-225757,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)",92.95%,7.05%,-1,"B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)"
WebKB,160129-070702,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)",90.02%,9.98%,-1,"B(0.8), BB(200.0, 200.0), BB(200.0, 200.0)"
